หัสลูกค้า,ชื่อลูกค้า,ประเภทลูกค้า,เลขที่เสียภาษี,ที่อยู่,ถนน,ตำบล,อำเภอ,จังหวัด,ไปรษณีย์,ชื่อผู้ติดต่อ,เบอร์โทร,อีเมล์,lineId,facebook
,โกดังอมรินทร์พริ้นติ้ง แอนด์พับลิช,,,65/16 ,ซอยวัดชัยพฤกษ์,,,กรุงเทพมหานคร,,,,,,
,โรงพิมพ์ คอมแพคท์พริ้นท์,,,549/444 ,ซอยยิ่งอำนวย (จรัลฯ 37),,เขตบางกอกน้อย,กรุงเทพมหานคร,,,,,,
,โกดังพุทธบูชา,,,275 หมู่ 3 ,ซอยพุทธบูชา 28,,เขตทุ่งครุ,กรุงเทพมหานคร,,,,,,
,โกดังฮั่วกี่เปเปอร์ - คลองเตย,,,,,,,กรุงเทพมหานคร,,,,,,
,บริษัท พรีซิสชั่น สลิตติ้ง,,,89/3 หมู่ที่ 2 ,ซอยจัดสรรทหารเรือ 26,,เขตประเวศ,กรุงเทพมหานคร,,,,,,
,โรงงานฟิสิกส์เซ็นเตอร์ (คลองโยง),,,52 หมู่ที่ 4,,,พุทธมณฑล,นครปฐม,,,,,,
,บริษัท ไทยการซอง จำกัด,,,2011-2012 หมู่ 2 ,ซอยสันติคาม ซอย 8,,อำเภอเมือง,สมุทรปราการ,,,,,,
,บริษัท นีโอแพป จำกัด,,,โกดังที่ 3,,,,กรุงเทพมหานคร,,,,,,
,บริษัท หงี่เฮงแชมเปี้ยนกรุ๊ป จำกัด,,,99/9 หมู่ที่ 1,,,เมือง,สมุทรสาคร,,,,,,
,บริษัท ไซเบอร์พริ้นท์กรุ๊ป จำกัด,,,959,ซอยสุทธิพร,,เขตดินแดง,กรุงเทพมหานคร,,,,,,
,โรงงานทูทีไทยคูณ บ้านบ่อ,,,11/2 หมู่ที่ 9,,,เมือง,สมุทรสาคร,,,,,,
,โกดัง ลิ้มพาณิชย์-อ่อนนุช,,,"1,3.",ซอยลาภทวี,,เขตสวนหลวง,กรุงเทพมหานคร,,,,,,
,โกดัง อาคเนย์อุตสาหกรรมบรรจุภัณฑ์,,,17/9.,ซอยเพชรเกษม 81,,เขตหนองแขม,กรุงเทพมหานคร,,,,,,
,โกดังสุขุมวิท 101 (แสงฟ้า),,,99 .,ซอยสุขุมวิท 101,,,กรุงเทพมหานคร,,,,,,
,โรงพิมพ์ ส.พิจิตรการพิมพ์,,,40362,,,เขตบางซื่อ,กรุงเทพมหานคร,,,,,,
,บริษัท สยามกมลเอก จำกัด,,,58,ซอยรองเมือง 3,,เขตปทุมวัน,กรุงเทพมหานคร,,,,,,
,AVERY DENNISON (THAILAND) LTD.,,,64/11 MOO 4,,,ปลวกแดง,ระยอง,,,,,,
,โกดัง ไทยเรืองทอง-สาธุฯ 12,,,"38/2,3,4,5.",ซอยสาธุประดิษฐ์ 12,,เขตยานนาวา,กรุงเทพมหานคร,,,,,,
,บริษัท ศรีไทยเปเปอร์ซัพพลาย จำกัด,,,"62, 64, 66, 68",,,เขตบางขุนเทียน,กรุงเทพมหานคร,,,,,,
,บริษัท แอล. แอล. เอช. การพิมพ์และ,,,206/3-4  หมู่ที่ 8,ซอยวัดสวนส้ม ,,อำเภอพระประแดง,สมุทรปราการ,,,,,,
,บริษัท จูปิตัส จำกัด,,,"475, 477, 479, 481, 483.",ซอยอมรชัย,,เขตทวีวัฒนา,กรุงเทพมหานคร,,,,,,
,บริษัท สวนหลวงการพิมพ์ จำกัด,,,34,ซอยเฉลิมพระเกียรติ ร.9,,เขตประเวศ,กรุงเทพมหานคร,,,,,,
,บริษัท โรงงานสมุดแสงรุ้ง จำกัด,,,99/99 หมู่ 1,,,อำเภอบางกรวย,นนทบุรี,,,,,,
,ห้างหุ้นส่วนจำกัด แสงงามอุตสาหกรรม,,,50  หมู่ที่ 9,ซอยสุขสวัสดิ์ 47,,เขตพระประแดง,สมุทรปราการ,,,,,,
,บริษัท ยูไนเต็ด 1999 พลัซ จำกัด,,,1,ซอยข้างอำเภอ,,เมือง,ระยอง,,,,,,
,บริษัท คลังสมุดยงสวัสดิ์ จำกัด,,,107/2 ,ซอยเย็นอากาศ 2,,,กรุงเทพมหานคร,,,,,,
