หัสลูกค้า,ชื่อลูกค้า,ประเภทลูกค้า,เลขที่เสียภาษี,ที่อยู่,ถนน,ตำบล,อำเภอ,จังหวัด,ไปรษณีย์,ชื่อผู้ติดต่อ,เบอร์โทร,อีเมล์,lineId,facebook
,สาขาโฮมโปร บางนา-บริษัท ออฟฟิศเมท,,,224,ถนนเทพรัตน,,เขตบางนา,กรุงเทพมหานคร,,,,,,
,บริษัท สยามคอนเวิร์ทติ้ง เซ็นเตอร์,,,DD WAREHOUSE เลขที่486/35 หมู่9,,,อำเภอพระสมุทรเจดีย์,สมุทรปราการ,,,,,,
,สาขาสุราษฎร์ธานี-บริษัท ดูโฮม จำกัด,,,88 / 8 หมู่ที่ 5,ถนน กาญจนวิถี,,เมือง,สุราษฎร์ธานี,,,,,,
,บริษัท บุญทรี ซุปเปอร์มาร์ท จำกัด,,,68/3 หมู่ 3,,,กระทุ่มแบน,สมุทรสาคร,,,,,,
,สาขาหาดใหญ่-บริษัท ดูโฮม จำกัด,,,388,ถนนกาญจนวณิชย์,,หาดใหญ่,สงขลา,,,,,,
,บริษัท วังสุภา จำกัด,,,51/33 หมู่7,,,เขตสายไหม,กรุงเทพมหานคร,,,,,,
,โครงการการศึกษานานาชาติ,,,50,,,เขตจตุจักร,กรุงเทพมหานคร,,,,,,
,บริษัท ริโก้ เซอร์วิสเซส,,,"68,54-56",,,เมือง,พิษณุโลก,,,,,,
,โกดังคุณกระดาษ ท่าข้าม,,,291 ซอยท่าข้าม 8,,,เขตบางขุนเทียน,กรุงเทพมหานคร,,,,,,
,สาขาพนัสนิคม-บริษัท โคเมริ,,,40/6 หมู่ 2,,,พนัสนิคม,ชลบุรี,,,,,,
,ไทยชีตเตอร์เปเปอร์,,,5 ซอย 22 ,ถนนสะแกงาม,,เขตบางขุนเทียน,กรุงเทพมหานคร,,,,,,
,บริษัท แอทเทค ไอที โซลูชั่น จำกัด,,,108/2 หมู่ 2,,,พระพุทธบาท,สระบุรี,,,,,,
,บริษัท ไท้ เซิ่ง ซิ่น เมทัล,,,176/1 นิคมอุสาหกรรมเกตเวย์ซิตี้,,,แปลงยาว,ฉะเชิงเทรา,,,,,,
,บริษัท เค.เอ็ม.แพ็กเกจจิ้ง จำกัด,,,99/99 หมู่ที่ 11,,,อำเภอบางเสาธง,สมุทรปราการ,,,,,,
,บริษัท วาไรตี้ แพ็ค จำกัด,,,78/9 หมู่ที่ 7,,,อำเภอบางบัวทอง,นนทบุรี,,,,,,
,หงส์ไทยฟู้ดแพคเกจจิ้ง,,,เลขที่ 59 ,ซอยลาซาล19,,เขตบางนา,กรุงเทพมหานคร,,,,,,
,บจก.ไทยโปรดัคท์ เปเปอร์มิลล์,,,70/1 หมู่ 7,ถนนสุวิยทวงค์,,เมือง,ฉะเชิงเทรา,,,,,,
,โรงงาน หจก. ธนโชติเปเปอร์,,,115/1 หมู่ 4,,,กระทุ่มแบน,สมุทรสาคร,,,,,,
,กรมอุตสาหกรรมพื้นฐานและการเหมืองแร่,,,กระทรวงอุตสาหกรรม,,,เขตราชเทวี,กรุงเทพมหานคร,,,,,,
,ร้านต้นถุงราชบุรี,,,88/7,,,เมือง,ราชบุรี,,,,,,
,บริษัท ทวีทรัพย์ แพคเกจจิ้ง จำกัด,,,526 หมู่ที่ 7,,,ศรีมหาโพธิ,ปราจีนบุรี,,,,,,
,บจก.พรีชีสชั่น สลิตติ้ง เซ็นเตอร์,,,16,ซอยเฉลิมพระเกียร์ติ ร.9,,เขตประเวศ,กรุงเทพมหานคร,,,,,,
,บริษัท ไอ-เทล คอร์ปอเรชั่น จำกัด,,,เลขที่ 30/2 หมู่ที่ 8,,,เมือง,สมุทรสาคร,,,,,,
,เคพีพี-แอนทาลิส (ประเทศไทย),,,99/38 หมู่ 1 กม.15,,,เมือง,สมุทรสาคร,,,,,,
,สาขาบุรีรัมย์-บริษัท ดูโฮม จำกัด,,,เลขที่ 88/8 หมู่ 16,,,เมือง,บุรีรัมย์,,,,,,
,บจ.คูห์ เน่ พลัส นาเกิ้ล,,,101/10 หมู่3,ซอยวัดบัวโรย ,,อำเภอบางเสาธง,สมุทรปราการ,,,,,,
,สำนักงานปลัดกระทรวงอุตสาหกรรม,,,75/ 6,,,เขตราชเทวี,กรุงเทพมหานคร,,,,,,
,สำนักงานคณะกรรมการอ้อยและน้ำตาลทราย,,,75/6 แ,,,เขตราชเทวี,กรุงเทพมหานคร,,,,,,
,สำนักงานมาตรฐานผลิตภัณฑ์อุตสาหกรรม,,,75/42,,,เขตราชเทวี,กรุงเทพมหานคร,,,,,,
,SIRI CAMPUS สิริ แคมปัส,,,59,ซอยริมคลองพระโขนง,,เขตวัฒนา,กรุงเทพมหานคร,,,,,,
,สำนักงานวิทยทรัพยากร จุฬาลงกรณ์มหา,,,254,,,เขตปทุมวัน,กรุงเทพมหานคร,,,,,,
,ซูซูโย ดิสทริบิวชั่น,,,"651 หมู่ 10, ตำบลท่าตูม",,,ศรีมหาโพธิ,ปราจีนบุรี,,,,,,
,สาขาชัยภูมิ,,,เลขที่ 88/88 หมู่ที่ 6,,,เมือง,ชัยภูมิ,,,,,,
,สนง.คณะกรรมการนโยบายรัฐวิสาหกิจ,,,310 อาคารพัฒนาวิสาหกิจขนาดกลาง,,,เขตพญาไท,กรุงเทพมหานคร,,,,,,
,KHOURN KING SHOP,,,499/17-19,,,อรัญประเทศ,สระแก้ว,,,,,,
,แสงไทยเปเปอร์ (บางกระดี่),,,111/184,,,เขตบางขุนเทียน,กรุงเทพมหานคร,,,,,,
,หจก.ทริปเปิ้ลพี พัฒนา,,,123,,,วิเศษชัยชาญ,อ่างทอง,,,,,,
,บริษัท กู้เกียรติบรรจุภัณฑ์,,,59/5 หมู่ 3,,,อำเภอบางเสาธง,สมุทรปราการ,,,,,,
